IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.40.190,4,2,0.50,194.03,0.00
104.25.0.205,4,2,0.50,194.12,0.00
104.18.183.202,4,2,0.50,194.18,0.00
104.18.55.104,4,2,0.50,194.18,0.00
172.65.25.80,4,2,0.50,194.22,0.00
172.67.203.6,4,2,0.50,194.30,0.00
104.21.108.119,4,2,0.50,194.32,0.00
172.67.110.95,4,2,0.50,194.36,0.00
172.67.195.206,4,2,0.50,194.53,0.00
104.18.59.221,4,2,0.50,194.66,0.00
104.18.181.224,4,2,0.50,194.79,0.00
172.66.167.36,4,2,0.50,194.81,0.00
172.65.42.21,4,2,0.50,194.86,0.00
104.27.89.125,4,2,0.50,194.86,0.00
172.67.62.22,4,2,0.50,194.88,0.00
104.24.62.219,4,2,0.50,195.02,0.00
172.67.243.171,4,2,0.50,195.05,0.00
172.67.199.98,4,2,0.50,195.06,0.00
104.25.11.166,4,2,0.50,195.10,0.00
104.24.250.251,4,2,0.50,195.13,0.00
172.67.18.119,4,2,0.50,195.19,0.00
172.67.194.252,4,2,0.50,195.32,0.00
104.25.20.253,4,2,0.50,195.34,0.00
104.25.18.136,4,2,0.50,195.43,0.00
172.67.221.129,4,2,0.50,195.47,0.00
172.65.61.186,4,2,0.50,195.60,0.00
104.25.12.235,4,2,0.50,195.63,0.00
104.21.28.231,4,2,0.50,195.73,0.00
172.67.200.48,4,2,0.50,196.04,0.00
104.25.1.20,4,2,0.50,196.05,0.00
172.64.53.21,4,2,0.50,196.18,0.00
172.65.21.186,4,2,0.50,196.47,0.00
104.27.16.25,4,2,0.50,196.58,0.00
172.65.23.66,4,2,0.50,196.74,0.00
172.67.178.151,4,2,0.50,196.79,0.00
104.24.236.240,4,2,0.50,196.80,0.00
172.67.96.63,4,2,0.50,196.85,0.00
172.67.252.190,4,2,0.50,196.93,0.00
104.24.22.239,4,2,0.50,196.98,0.00
172.66.135.27,4,2,0.50,197.10,0.00
172.67.205.187,4,2,0.50,197.12,0.00
104.24.252.121,4,2,0.50,197.13,0.00
172.66.137.79,4,2,0.50,197.17,0.00
172.66.145.174,4,2,0.50,197.19,0.00
104.24.189.41,4,2,0.50,197.25,0.00
104.25.175.192,4,2,0.50,197.34,0.00
172.64.94.216,4,2,0.50,197.35,0.00
104.24.171.237,4,2,0.50,197.40,0.00
104.24.151.138,4,2,0.50,197.40,0.00
172.66.140.229,4,2,0.50,197.41,0.00
172.64.46.209,4,2,0.50,197.47,0.00
